property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,price,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
house,house number b-34,sector 5,8889.0,2,2,1,1.0,Old Property,0.8,900.0,0,0,0,0,0,0,0,"28.4794° N, 77.0176° E",28.4794,77.0176
house,ansal api esencia,sector 67,8222.0,3,3,3,1.0,Moderately Old,1.85,278.0,0,0,0,0,0,0,49,"28.3859° N, 77.0608° E",28.3859,77.0608
house,jacob pura,sector 12,9722.0,2,1,0,2.0,Old Property,0.35,360.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,unitech sunbreeze,sector 69,11123.0,4,3,0,0.0,Relatively New,1.0,1826.0,0,0,0,0,0,0,0,"28.3966° N, 77.0341° E",28.3966,77.0341
house,tata primanti,sector 72,13492.0,5,6,3+,10.0,Relatively New,8.5,6300.0,1,1,1,1,0,1,145,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,la vida by tata housing,sector 113,10800.0,3,4,3+,4.0,Relatively New,2.7,2217.0,0,1,0,0,0,1,49,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,mapsko mount ville,sector 79,6500.0,3,3,3+,1.0,Relatively New,1.3,1213.0,0,0,0,0,0,1,140,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,dlf regency park,sector 28,14545.0,2,2,2,3.0,Relatively New,1.6,1222.0,0,0,0,0,0,0,52,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,conscient heritage max,sector 102,9251.0,3,4,3+,9.0,Moderately Old,2.2,1945.0,1,1,0,0,0,0,125,"28.4750° N, 76.9715° E",28.475,76.9715
flat,m3m soulitude,sector 89,9970.0,3,3,3,4.0,New Property,1.33,1423.0,1,0,0,0,0,0,125,"28.4253° N, 76.9439° E",28.4253,76.9439
